,Name,W,W,SO,SO,WHIP,WHIP,ERA,ERA,ER,ER,BB,BB,H,H,IP,IP,W_sharpe,SO_sharpe,WHIP_sharpe,ERA_sharpe,Total_sharpe
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,,,,,
52,Joe Musgrove,8.625,1.597989808656935,130.875,22.318714120665646,1.2037499999999999,0.010606601717798233,3.95125,0.15697474774170345,61.875,9.775150711297059,37.25,5.922113522335464,132.875,21.846460975243957,140.9375,23.039217341617437,1.016902605508959,1.4696187165025512,-7.188918942063234,-1.2498029321430701,10.925243196217814
53,Chase Burns,7.875,0.6408699444616557,149.25,15.397124035722662,1.14875,0.029970223317724587,3.61625,0.2932058029049611,50.125,4.85320218294802,37.875,5.693040864574422,105.75,7.977647343851266,124.725,10.17949619859169,1.3653316208096145,3.3236726470001527,-4.3793467472222,-1.8116541171327951,10.880005132164762
54,Noah Cameron,8.125,0.35355339059327384,121.5,2.5634797778466263,1.3062500000000001,0.03583194903195434,4.2924999999999995,0.20112185361118776,68.25,4.713203338949607,45.875,2.695896352395088,141.5,7.837638128197257,143.1,3.8667077173518773,3.1819805153394634,9.137969490704341,0.7325864405698611,0.7212667216186124,10.866096843855331
55,Brandon Woodruff,9.5,1.0690449676496976,147.875,19.94590899694185,1.1425,0.03370036032024407,3.78875,0.18665763158406212,59.875,10.091545258992092,39.0,6.324555320336757,123.125,18.893971071671054,141.23749999999998,20.011135292988392,2.338535866733713,2.496752592606106,-4.080075070218244,-1.9216331898996761,10.836996719457739
56,Shane Smith,8.0,0.7559289460184543,148.375,5.235524260827592,1.28375,0.05804862493757164,4.2575,0.21485875759271658,74.75,6.943650748294132,58.5,5.477225575051661,144.5,15.080735109024749,157.61249999999998,8.237273734156748,1.3228756555322956,9.607442825992933,0.06460101344403689,0.5122551262659427,10.353462341815248
57,Shane Baz,9.625,0.744023809142845,150.25,7.667184247539265,1.2725,0.03105295017040587,4.22875,0.10789379698838791,71.75,3.2403703492039284,54.75,4.06201920231798,139.875,7.605214376615936,153.05,6.942827748321086,3.5281129014192967,6.804975374987923,-0.24152294576982652,0.7536346135705224,9.820976608606525
58,Ryan Pepiot,10.125,0.8345229603962802,166.0,13.416407864998735,1.24,0.035856858280031836,4.172499999999999,0.23523544436524485,76.5,6.117889458675385,59.375,4.033343171967535,145.625,12.43195766677845,164.825,9.747050836022149,3.744654309470488,5.062830579055776,-1.1155467020454342,0.10654219251536677,9.816489398056332
59,Gerrit Cole,7.625,0.744023809142845,122.875,14.237149594333433,1.18125,0.018077215335491097,3.9225,0.14704226797566947,53.625,5.125217765408328,35.875,3.6425069859723176,108.875,12.040853078463455,122.6375,12.502335496104031,0.8400268812903087,1.7419217123258104,-5.462677639632012,-1.529747215523222,9.574373448771354
60,Quinn Priester,10.125,0.6408699444616557,137.25,10.687108388815272,1.28875,0.035632048174962606,4.08125,0.0832273135111649,74.75,4.862392121462145,53.5,5.3452248382484875,159.25,12.634985442922249,165.0125,10.470426038541667,4.876184360034338,3.6656313920235992,0.24556545155740878,-0.795261762127175,9.091512062627704
61,Cody Ponce,8.5,1.1952286093343936,154.125,14.055375179217789,1.24,0.01309307341415955,4.08625,0.0838259250726513,68.5,7.671840904055744,46.75,3.7321001364608946,140.375,19.71176226085764,150.625,17.659780778448454,1.2549900398011133,3.987798211382879,-3.0550504633038944,-0.72993527893631,9.027773993424196
62,Kyle Bradish,8.25,1.9086270308410551,143.375,16.387604200387905,1.20125,0.029489707647632882,3.65375,0.1701207554314624,55.0,7.387247699341657,43.875,5.642631098546644,118.375,15.183990629230887,134.825,14.908650413194918,0.6549210399944798,2.7642844827145465,-2.670423218194274,-2.9019827636428204,8.991611504546121
