#	Name	Team	GS	G	IP	W	L	QS	SV	HLD	H	ER	HR	SO	BB	WHIP	K/9	BB/9	ERA	FIP	WAR	RA9-WAR	ADP	Vol	Skew	Dim
119	Mason Miller	SDP	0	60	64.1	3	2	0	34	2	39	18	6	99	25	0.99	13.79	3.44	2.48	2.47	1.4	1.5	27.9	2.58	0.67	2.09
120	Jacob Lopez	ATH	23	23	126.1	8	8	9	0	0	112	60	19	129	50	1.29	9.21	3.58	4.30	4.41	1.4	1.2	409.2	2.81	0.09	4.06
121	Hunter Greene	CIN	11	11	66.1	4	3	5	0	0	53	27	10	79	21	1.13	10.72	2.89	3.69	3.80	1.4	1.3	444.3	1.06	-0.42	3.98
122	Quinn Priester	MIL	20	20	117.1	7	7	8	0	0	114	54	14	97	38	1.30	7.40	2.93	4.14	4.17	1.3	1.4	592.1	2.35	-0.45	4.47
123	Rhett Lowder	CIN	19	27	114.0	6	7	6	0	1	115	56	15	90	36	1.33	7.11	2.87	4.42	4.40	1.3	1.3	552.2	5.03	-0.95	4.46
124	Nick Martinez	TBR	22	38	141.1	9	9	10	0	1	143	69	20	109	38	1.28	6.96	2.41	4.40	4.35	1.3	1.1	738.3	3.19	-1.02	3.91
125	Cade Smith	CLE	0	66	68.1	5	4	0	32	3	52	22	6	88	20	1.05	11.62	2.58	2.94	2.63	1.3	1.1	39.9	2.05	-0.41	2.45
126	Andre Pallante	STL	23	28	129.2	7	9	8	0	0	133	63	13	90	50	1.42	6.23	3.50	4.39	4.29	1.3	1.1	999.0	2.83	0.48	3.69
127	Ryan Weathers	NYY	21	31	122.0	7	7	7	0	0	111	54	17	118	41	1.25	8.68	3.03	3.99	4.17	1.3	1.6	232.6	3.80	0.05	4.61
128	Grant Holmes	ATL	22	32	132.1	7	7	8	0	1	126	62	17	131	51	1.33	8.95	3.44	4.21	4.15	1.3	1.5	369.5	2.71	0.77	4.02
129	Will Warren	NYY	21	34	121.1	7	8	7	0	0	116	58	17	121	44	1.31	8.96	3.23	4.29	4.17	1.3	1.1	285.0	3.09	0.24	4.23
130	Justin Steele	CHC	13	13	72.2	6	4	6	0	0	66	29	8	69	19	1.18	8.49	2.39	3.65	3.66	1.3	1.4	605.5	2.29	-0.12	4.09
131	Ian Seymour	TBR	15	36	107.2	6	7	6	0	3	97	49	14	104	33	1.21	8.74	2.74	4.07	3.99	1.3	1.2	521.1	2.21	-1.04	4.63
132	Jared Jones	PIT	15	18	82.0	5	5	6	0	0	74	36	11	85	27	1.24	9.31	2.98	4.00	3.88	1.2	1.2	714.8	2.84	0.29	4.58
133	Grant Taylor	CHW	2	66	80.0	4	4	1	6	15	66	31	7	96	31	1.22	10.75	3.51	3.44	3.10	1.2	1.0	506.7	5.19	1.50	4.05
134	Roki Sasaki	LAD	18	30	106.2	6	5	7	0	1	97	49	13	102	43	1.32	8.62	3.65	4.18	4.21	1.2	1.1	289.7	1.42	-0.72	4.59
135	Logan Henderson	MIL	14	24	83.2	6	5	5	0	0	75	38	13	84	25	1.20	9.04	2.73	4.07	4.11	1.2	1.0	413.4	2.31	0.57	4.50
136	Spencer Schwellenbach	ATL	10	11	62.2	4	3	6	0	0	57	25	7	61	13	1.12	8.71	1.84	3.62	3.44	1.2	1.3	743.2	2.77	0.66	3.81
137	Cristian Javier	HOU	25	25	137.2	8	9	9	0	0	127	72	22	125	58	1.34	8.16	3.79	4.69	4.76	1.1	0.7	470.3	4.71	-1.04	3.43
138	Jhoan Duran	PHI	0	64	65.2	5	4	0	33	2	53	21	5	76	20	1.11	10.37	2.74	2.89	2.87	1.1	1.3	41.8	3.03	0.25	2.26
139	Slade Cecconi	CLE	27	27	151.1	7	9	10	0	0	153	77	25	125	38	1.26	7.45	2.28	4.59	4.53	1.1	0.8	584.6	3.20	0.33	3.63
140	Robby Snelling	MIA	15	16	83.1	5	6	7	0	0	82	38	10	73	30	1.34	7.89	3.20	4.10	4.08	1.1	1.2	999.0	2.23	0.86	4.63
141	Griffin Jax	TBR	0	62	63.0	4	4	0	19	12	50	22	6	80	17	1.07	11.42	2.48	3.10	2.80	1.1	0.9	149.2	2.38	1.03	3.14
142	Hunter Barco	PIT	11	33	83.0	5	4	4	0	1	76	38	9	77	33	1.32	8.29	3.62	4.07	4.05	1.1	1.0	999.0	1.83	-0.11	4.66
143	Dean Kremer	BAL	18	29	109.2	7	7	7	0	1	108	54	16	94	33	1.28	7.73	2.73	4.40	4.37	1.1	0.8	999.0	1.87	-0.69	4.41
144	Chris Paddack	MIA	21	28	121.2	5	7	6	0	0	129	65	20	95	31	1.32	7.02	2.32	4.83	4.57	1.1	0.6	748.5	2.85	0.38	3.89
145	Aaron Civale	ATH	22	22	123.0	6	7	7	0	0	123	64	20	106	40	1.32	7.78	2.90	4.67	4.67	1.0	0.8	748.6	2.28	1.16	3.95
146	Edwin Díaz	LAD	0	62	65.0	5	3	0	36	2	47	22	7	89	22	1.06	12.28	3.06	3.05	2.93	1.0	1.0	33.0	1.74	0.33	2.11
147	Carmen Mlodzinski	PIT	9	41	84.0	4	5	2	0	3	80	36	9	74	28	1.29	7.90	3.02	3.86	3.84	1.0	1.1	745.6	1.80	-0.41	4.44
148	Kumar Rocker	TEX	16	27	91.2	5	6	5	0	1	89	44	12	81	30	1.30	7.96	2.97	4.30	4.17	1.0	0.7	720.7	2.58	1.42	4.86
149	Anthony Kay	CHW	21	32	126.1	6	9	9	0	0	125	62	16	104	50	1.39	7.41	3.58	4.42	4.51	1.0	0.9	717.9	4.06	0.83	3.97
150	Bryan Abreu	HOU	0	65	67.1	3	3	0	12	20	51	23	7	90	28	1.16	12.05	3.72	3.13	3.15	1.0	1.0	181.7	0.59	0.15	3.56
151	Jose Quintana	COL	22	22	127.2	7	9	8	0	0	142	72	19	89	49	1.50	6.29	3.48	5.06	4.91	1.0	1.2	999.0	9.10	-0.42	2.81
152	Brandon Sproat	MIL	14	28	88.0	5	5	5	0	1	83	41	10	74	33	1.32	7.60	3.42	4.22	4.24	1.0	0.8	528.2	1.53	-0.17	4.77
153	Davis Martin	CHW	27	27	151.0	7	10	9	0	0	153	77	22	117	54	1.37	6.99	3.21	4.61	4.70	1.0	1.0	999.0	2.53	0.26	3.37
154	Max Scherzer	TOR	15	24	90.2	6	6	6	0	0	87	46	16	88	24	1.23	8.72	2.43	4.58	4.44	1.0	0.5	546.9	2.20	-0.17	4.40
155	Aroldis Chapman	BOS	0	56	55.2	4	3	0	29	2	39	19	5	76	24	1.14	12.34	3.85	3.06	2.95	0.9	0.9	64.6	1.60	0.75	2.53
