i#	Name	Team	GS	G	IP	W	L	QS	SV	HLD	H	ER	HR	SO	BB	WHIP	K/9	BB/9	ERA	FIP	WAR	RA9-WAR	ADP
571	Jaxon Wiggins	CHC	19	20	72.1	4	4		0	0	66	36	9	63	36	1.41	7.84	4.48	4.48	4.59	0.5	0.6	999.0
572	Shawn Armstrong	CLE	3	55	58.1	3	2		3	16	52	24	7	58	17	1.18	8.95	2.62	3.70	3.79	0.5	0.5	999.0
573	Will Johnston	ATH	9	36	71.2	4	4		0	0	68	36	10	69	33	1.41	8.66	4.14	4.52	4.45	0.5	0.3	999.0
574	Blake Adams	COL	16	24	86.1	4	7		0	0	99	50	15	59	25	1.44	6.15	2.61	5.21	4.97	0.5	0.6	999.0
575	Robert Suarez	ATL	0	57	55.0	5	4		8	11	48	22	6	54	17	1.18	8.84	2.78	3.60	3.63	0.5	0.5	216.3
576	Gregory Soto	PIT	0	62	54.1	3	3		4	14	48	23	4	59	23	1.31	9.78	3.81	3.81	3.52	0.5	0.4	999.0
577	Trey Supak	TEX	19	22	96.2	5	6		0	0	99	55	16	75	29	1.32	6.98	2.70	5.12	4.88	0.5	0.0	999.0
578	Jeff Criswell	COL	9	29	77.1	3	4		0	1	81	40	12	70	33	1.47	8.15	3.84	4.66	4.70	0.5	0.8	999.0
579	Ryan Watson	BOS	5	36	60.2	4	3		0	0	61	28	7	50	20	1.33	7.41	2.97	4.15	4.12	0.5	0.5	999.0
580	David Buchanan		16	19	98.0	4	7		0	0	111	54	14	56	31	1.45	5.14	2.85	4.96	4.89	0.5	0.1	999.0
581	James Gonzalez	ATH	16	20	86.1	4	5		0	0	90	47	13	67	34	1.44	6.99	3.55	4.90	4.86	0.5	0.3	999.0
582	Alex Pham	BAL	14	20	70.1	3	4		0	0	70	37	11	62	27	1.38	7.94	3.46	4.74	4.60	0.5	0.2	999.0
583	Joel Kuhnel	ATH	1	45	53.0	3	3		0	0	56	24	5	38	12	1.28	6.45	2.04	4.08	3.78	0.5	0.3	999.0
584	Ryan Webb	CLE	19	24	103.0	5	7		0	0	102	52	14	88	47	1.45	7.69	4.11	4.54	4.80	0.5	0.6	999.0
585	Marco Raya	MIN	20	28	94.0	4	5		0	0	94	51	12	78	45	1.48	7.47	4.31	4.88	4.79	0.5	0.3	999.0
586	Drew Pomeranz	LAA	4	55	48.0	2	3		4	11	44	22	6	49	15	1.23	9.19	2.81	4.13	3.97	0.5	0.2	999.0
587	Josiah Gray	WSN	22	22	115.2	6	8		0	0	112	62	19	104	50	1.40	8.09	3.89	4.82	4.95	0.5	0.6	999.0
588	Danny Coulombe		1	50	40.2	2	1		0	0	35	16	4	40	15	1.23	8.85	3.32	3.54	3.63	0.5	0.4	999.0
589	Eduardo Rivera	BOS	14	20	77.1	4	5		0	0	74	41	10	70	40	1.47	8.15	4.66	4.77	4.71	0.5	0.5	999.0
590	Kyle Luckham	WSN	22	24	119.1	5	7		0	0	137	67	17	64	34	1.43	4.83	2.56	5.05	4.95	0.5	0.3	999.0
591	Evan McKendry	MIA	13	22	85.0	4	8		0	0	93	49	13	52	21	1.34	5.51	2.22	5.19	4.85	0.5	-0.1	999.0
592	Robinson Piña		15	21	82.0	5	6		0	0	84	41	12	63	27	1.35	6.91	2.96	4.50	4.71	0.5	0.6	999.0
593	Garrett McMillan	PIT	8	19	52.2	3	3		0	0	56	24	7	38	14	1.33	6.49	2.39	4.10	4.27	0.5	0.6	999.0
594	Valente Bellozo	COL	14	29	98.0	3	5		0	1	104	51	16	70	32	1.39	6.43	2.94	4.68	4.90	0.5	0.6	999.0
595	Bryan Hoeing	SDP	8	31	69.0	4	3		0	1	68	33	8	51	22	1.30	6.65	2.87	4.30	4.21	0.5	0.3	999.0
