,Name,W,W,SO,SO,WHIP,WHIP,ERA,ERA,W_sharpe,W,W,SO_sharpe,SO,SO,WHIP_sharpe,WHIP,WHIP,ERA_sharpe,ERA,ERA,Total_sharpe
84,Michael Wacha,9.5,0.5345224838248488,124.75,7.324128422062051,1.30375,0.029246489410818914,4.475,0.2452404068314539,5.0512374721448525,7.896432548525453,11.103567451474547,3.925381744181059,102.77761473381385,146.72238526618617,-0.8120632759162641,1.3914894682324568,1.2160105317675431,-1.3252302269395666,5.210721220494362,3.739278779505638,6.83932571347008
85,David Peterson,9.5,1.6035674514745462,143.125,6.034129124050485,1.35,0.019999999999999976,3.99125,0.18954362483155604,1.6837458240482843,4.689297645576362,14.310702354423638,7.809743383211984,125.02261262784855,161.22738737215144,-3.500000000000007,1.41,1.2900000000000003,0.8375380609138324,4.559880874494668,3.422619125505332,6.831027268174093
86,Yusei Kikuchi,8.75,1.035098339013531,166.0,9.710083124552243,1.34375,0.04307385683749646,4.37,0.2703965342127847,1.8838789770046438,5.644704982959407,11.855295017040593,7.2090011076221225,136.86975062634326,195.13024937365674,-1.480016062655077,1.4729715705124895,1.2145284294875105,-0.8136198958337013,5.181189602638354,3.558810397361646,6.799244126137989
87,Trevor Rogers,9.125,1.125991626459603,130.0,7.4642002729217936,1.28,0.043094580368566775,4.13375,0.1218825547109065,2.0648466164090347,5.747025120621191,12.502974879378808,4.5550760639881664,107.60739918123463,152.39260081876537,-0.0,1.4092837411057004,1.1507162588942996,0.1333250688627567,4.49939766413272,3.7681023358672805,6.753247749259957
88,Sean Manaea,6.875,0.9910312089651151,129.0,10.583005244258363,1.2137499999999999,0.019226098333849702,4.15375,0.26169434187889595,0.07567874686644414,3.9019063731046546,9.848093626895345,3.1182069023261243,97.25098426722491,160.7490157327751,3.4458369477576003,1.271428295001549,1.1560717049984508,-0.014329694608890848,4.938833025636687,3.368666974363312,6.625392902341278
90,Reid Detmers,7.875,0.9910312089651149,152.375,12.046783803156753,1.26,0.0350509832753866,4.17625,0.2539368594186922,1.0847287050854701,4.901906373104655,10.848093626895345,4.6796722611745905,116.23464859052974,188.51535140947027,0.5705974021574556,1.3651529498261599,1.1548470501738402,-0.10337215345613968,4.938060578256076,3.414439421743923,6.231626214961376
91,Trey Yesavage,6.375,1.5979898086569355,126.875,13.119641763401926,1.225,0.034226138716316974,3.75625,0.16088483014699842,-0.26595914297925544,1.5810305740291932,11.168969425970808,2.3533416961222047,87.51607470979422,166.23392529020578,1.6069589519246361,1.327678416148951,1.1223215838510492,2.4474029008218854,4.238904490440995,3.273595509559005,6.141744405889471
92,Chris Bassitt,10.375,0.7440238091428453,151.5,7.982122882685138,1.33375,0.011877349391654232,4.35,0.14803474495633034,4.804953760980587,8.142928572571464,12.607071427428536,6.953037533460038,127.55363135194459,175.4463686480554,-4.525420464415071,1.3693820481749628,1.2981179518250372,-1.3510341782194342,4.794104234868991,3.9058957651310084,5.88153665180612
93,Zach Eflin,9.125,0.6408699444616557,112.5,10.099504938362077,1.24125,0.024748737341529197,4.390000000000001,0.20099751242241756,3.627881163865574,7.202390166615033,11.047609833384968,1.6337434459115128,82.20148518491376,142.79851481508624,1.565736444055927,1.3154962120245877,1.1670037879754123,-1.1940446282519894,4.992992537267253,3.787007462732748,5.633316425581025
94,Ian Seymour,6.0,0.7559289460184546,108.375,4.2067123233504535,1.21875,0.016420805617960967,4.155,0.16518388022356872,-1.0583005244258135,3.732213161944636,8.267786838055365,2.9417271847445656,95.75486302994864,120.99513697005136,3.7300240575897923,1.2680124168538829,1.1694875831461171,-0.030269297423166384,4.650551640670707,3.659448359329294,5.583181420485378
95,Braxton Ashcraft,7.875,0.9910312089651149,124.125,11.752659273543157,1.26875,0.03313931631332015,3.815,0.19798989873223324,1.0847287050854701,4.901906373104655,10.848093626895345,2.3930754176897837,88.86702217937054,159.38297782062946,0.3394759232096201,1.3681679489399605,1.1693320510600396,1.6920055121249555,4.408969696196699,3.2210303038033,5.50928555810983
96,Noah Cameron,8.5,0.5345224838248487,122.75,5.946187253790687,1.31,0.028284271247461898,4.345,0.1669045920792561,3.1804087787578825,6.896432548525453,10.103567451474547,4.498681063726493,104.91143823862794,140.58856176137206,-1.0606601717798223,1.3948528137423857,1.2251471862576144,-1.1683321445547883,4.845713776237768,3.8442862237622313,5.450097526149764
97,Reynaldo Lopez,8.25,0.8864052604279183,135.0,14.784161409137432,1.26375,0.03814914340921887,3.92375,0.3722878110893703,1.6358206169715412,5.590784218716244,10.909215781283756,2.6379582122186407,90.6475157725877,179.3524842274123,0.4259597607655125,1.3781974302276565,1.1493025697723434,0.6077287336857972,5.040613433268111,2.8068865667318894,5.307467323641491
99,Taj Bradley,7.625,0.5175491695067657,134.0,6.9693205243717005,1.29875,0.019594095320493193,4.26625,0.11710038428630354,1.5940514420808711,6.072352491479704,9.177647508520296,5.4524684102437355,113.0920384268849,154.9079615731151,-0.956920934256642,1.3575322859614796,1.2399677140385206,-0.9927379889358481,4.617551152858911,3.9149488471410896,5.0968609291321165
100,Mike Burrows,7.0,1.6903085094570331,130.625,8.450486038430824,1.2575,0.028660575211055583,4.145,0.2068816086557717,0.11832159566200241,1.9290744716289003,12.070925528371099,4.097397456493465,105.27354188470753,155.97645811529247,0.7850505383897799,1.3434817256331668,1.1715182743668333,0.0241684122261454,4.765644825967315,3.524355174032684,5.024938002771393
101,Hunter Greene,5.0,1.3093073414159542,99.5,25.723807760794,1.10625,0.043732139211339706,3.66625,0.21613074746550975,-1.3747727084867392,1.0720779757521375,8.927922024247863,0.13606072757760213,22.328576717618006,176.671423282382,3.9730505558014606,1.2374464176340192,0.9750535823659808,2.2382285059981926,4.314642242396529,3.0178577576034704,4.972567080890516
102,Zebby Matthews,5.875,0.6408699444616559,104.25,5.063877678504601,1.225,0.014142135623730961,4.03125,0.13850605969208912,-1.4433505705701368,3.9523901666150323,7.797609833384968,1.6291862726108115,89.0583669644862,119.4416330355138,3.889087296526004,1.267426406871193,1.1825735931288073,0.8573632104183153,4.446768179076267,3.615731820923733,4.932286208984994
103,Jeffrey Springs,9.0,0.9258200997725514,134.75,7.3824115301167,1.335,0.035456210417116704,4.6975,0.46973396726232164,2.376271589416234,6.222539700682345,11.777460299317655,5.248962326459122,112.60276540964989,156.8972345903501,-1.5512092057488567,1.44136863125135,1.2286313687486499,-1.165553351806576,6.106701901786964,3.2882980982130348,4.9084713583199235
